time,top,top_middle,bottom_middle,bottom
1708218957,0,0,0,1
1708218957,0,0,1,1
1708218957,0,0,0,1
1708218958,2,0,0,0
1708218958,1,0,0,0
1708218958,0,0,0,0
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218958,0,1,0,1
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218958,0,0,1,0
1708218958,0,0,0,0
1708218959,0,0,0,1
1708218959,0,0,1,0
1708218959,0,0,0,0
1708218959,0,0,0,0
1708218959,0,0,0,0
1708218959,0,0,1,0
1708218959,0,0,0,0
1708218959,1,0,0,0
1708218959,0,1,0,0
1708218959,0,0,0,1
1708218960,1,0,0,0
1708218960,0,1,0,0
1708218960,1,0,0,0
1708218960,1,0,0,0
1708218960,0,0,0,0
1708218960,0,0,0,0
1708218960,0,0,0,0
1708218960,1,0,0,0
1708218960,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218961,0,0,1,0
1708218961,0,1,0,1
1708218961,0,0,0,0
1708218961,0,0,2,0
1708218961,0,0,0,0
1708218961,0,0,0,0
1708218962,1,0,0,0
1708218962,0,0,0,0
1708218962,0,2,0,0
1708218962,0,0,0,0
1708218962,0,0,0,0
1708218962,0,0,0,1
1708218962,0,0,0,0
1708218962,0,0,0,0
1708218962,2,0,0,0
1708218962,0,0,0,0
1708218963,0,0,1,0
1708218963,0,0,0,1
1708218963,1,0,0,0
1708218963,0,0,0,0
1708218963,0,1,0,0
1708218963,0,1,0,0
1708218963,0,0,0,0
1708218963,0,0,1,0
1708218963,2,0,1,0
1708218963,0,0,1,0
1708218964,1,0,0,0
1708218964,0,0,0,107
1708218964,0,1,0,103
1708218964,1,0,0,81
1708218964,0,0,0,0
1708218964,0,1,0,0
1708218964,0,0,0,0
1708218964,0,0,0,0
1708218964,0,0,0,1
1708218964,0,0,0,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,0
1708218965,1,0,0,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,0
1708218965,0,0,1,0
1708218965,0,0,0,2
1708218965,1,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,3
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,0,0,0,0
1708218966,1,0,0,0
1708218966,0,1,0,0
1708218966,0,1,0,0
1708218966,0,0,0,0
1708218967,0,0,0,0
1708218967,0,0,0,0
1708218967,0,0,0,1
1708218967,0,1,0,0
1708218967,0,0,0,0
1708218967,3,0,0,0
1708218967,2,0,0,0
1708218967,1,2,0,0
1708218967,0,0,0,0
1708218967,23,2,0,0
1708218968,56,0,3,0
1708218968,77,0,6,0
1708218968,115,0,7,0
1708218968,101,0,5,1
1708218968,92,1,3,2
1708218968,81,0,5,0
1708218968,48,0,4,1
1708218968,26,0,1,0
1708218968,0,1,0,0
1708218968,1,0,0,0
1708218969,0,0,0,0
1708218969,0,0,0,1
1708218969,120,1,8,0
1708218969,148,0,9,0
1708218969,113,73,6,0
1708218969,86,159,5,0
1708218969,89,117,5,0
1708218969,69,94,4,0
1708218969,71,108,4,0
1708218969,65,139,3,0
1708218970,0,152,2,1
1708218970,0,133,0,2
1708218970,0,156,1,0
1708218970,0,51,0,0
1708218970,0,1,0,2
1708218970,0,0,0,0
1708218970,1,0,0,1
1708218970,1,0,0,0
1708218970,0,0,0,0
1708218970,0,0,0,0
1708218971,1,0,0,0
1708218971,0,0,0,0
1708218971,1,0,0,0
1708218971,0,0,0,1
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218971,0,1,0,0
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218971,0,0,0,0
1708218972,0,0,1,0
1708218972,0,0,0,0
1708218972,0,0,1,0
1708218972,0,0,0,2
1708218972,0,1,0,21
1708218972,0,0,0,0
1708218972,0,0,1,0
1708218972,2,0,0,0
1708218972,0,0,0,0
1708218973,0,0,0,0
1708218973,0,0,0,0
1708218973,0,1,0,0
1708218973,147,0,8,0
1708218973,147,0,8,0
1708218973,166,0,7,0
1708218973,122,0,5,0
1708218973,133,0,7,0
1708218973,99,0,6,0
1708218973,92,0,5,0
1708218974,93,0,5,0
1708218974,85,0,5,0
1708218974,83,0,5,1
1708218974,81,0,3,0
1708218974,101,0,5,0
1708218974,153,0,5,0
1708218974,86,0,2,2
1708218974,0,0,0,0
1708218974,0,0,0,0
1708218974,0,0,0,0
1708218975,0,1,0,1
1708218975,0,0,0,0
1708218975,0,0,0,0
1708218975,0,0,1,0
1708218975,0,0,0,0
1708218975,0,0,0,1
1708218975,0,0,0,0
1708218975,40,22,2,0
1708218975,51,60,1,0
1708218975,43,26,1,0
1708218976,37,1,1,0
1708218976,39,1,3,0
1708218976,0,0,1,0
1708218976,0,0,1,0
1708218976,0,0,0,0
1708218976,0,0,0,0
1708218976,0,0,1,0
1708218976,0,1,0,1
1708218976,0,1,0,1
1708218976,0,0,0,0
1708218977,0,0,0,0
1708218977,206,0,7,0
1708218977,283,0,12,0
1708218977,182,178,9,0
1708218977,84,134,3,0
1708218977,29,80,0,0
1708218977,0,0,0,0
1708218977,1,0,0,2
1708218977,0,1,0,0
1708218977,0,0,0,0
1708218978,0,0,0,0
1708218978,0,0,1,0
1708218978,0,0,0,0
1708218978,91,0,6,0
1708218978,227,108,12,0
1708218978,309,169,15,0
1708218978,272,196,14,0
1708218978,191,197,7,0
1708218978,0,0,0,0
1708218978,0,0,0,0
1708218979,0,0,0,0
1708218979,0,0,0,0
1708218979,0,1,0,0
1708218979,0,0,0,0
1708218979,0,0,0,0
1708218979,47,1,3,0
1708218979,49,1,2,0
1708218979,0,0,0,0
1708218979,0,0,0,0
1708218979,0,0,0,0
1708218980,0,0,0,0
1708218980,47,2,3,0
1708218980,54,0,4,0
1708218980,149,0,8,0
1708218980,189,0,8,0
1708218980,198,0,10,1
1708218980,201,0,9,0
1708218980,209,0,10,1
1708218980,221,0,11,0
1708218980,235,0,10,0
1708218981,265,0,11,0
1708218981,225,0,12,0
1708218981,170,0,7,0
1708218981,115,0,6,0
1708218981,103,0,4,0
1708218981,160,0,6,0
1708218981,173,2,9,0
1708218981,177,0,9,0
1708218981,186,0,10,0
1708218981,193,51,10,0
1708218982,164,136,9,1
1708218982,101,188,7,44
1708218982,0,167,2,59
1708218982,1,128,1,68
1708218982,1,135,3,115
1708218982,0,164,0,159
1708218982,0,138,0,164
1708218982,1,118,0,159
1708218982,0,114,0,153
1708218982,0,112,0,134
1708218983,0,76,0,133
1708218983,0,0,0,97
1708218983,0,1,0,21
1708218983,0,0,0,0
1708218983,0,0,0,0
1708218983,0,0,0,0
1708218983,1,0,0,1
1708218983,0,0,0,0
1708218983,0,0,0,0
1708218984,0,1,0,0
1708218984,0,1,0,0
1708218984,0,0,2,0
1708218984,47,1,3,0
1708218984,54,1,4,0
1708218984,54,0,3,0
1708218984,94,0,6,0
1708218984,166,0,9,0
1708218984,307,0,14,2
1708218984,410,0,19,0
1708218985,413,0,19,0
1708218985,290,0,16,0
1708218985,111,0,6,0
1708218985,1,0,0,0
1708218985,0,0,0,0
1708218985,0,0,0,0
1708218985,1,0,1,0
1708218985,0,1,0,0
1708218985,0,0,0,0
1708218985,0,0,0,0
1708218986,0,0,0,1
1708218986,2,0,1,0
1708218986,0,0,0,0
1708218986,1,0,0,0
1708218986,0,0,0,0
1708218986,0,0,0,0
1708218986,0,0,0,0
1708218986,1,0,0,0
1708218986,0,0,0,0
1708218986,0,0,0,0
1708218987,0,1,0,0
1708218987,0,0,0,0
1708218987,0,0,0,0
1708218987,1,0,0,0
1708218987,0,0,0,0
1708218987,0,2,0,0
1708218987,0,0,0,0
1708218987,0,0,0,0
1708218987,0,0,0,0
1708218987,0,0,0,0
1708218988,0,0,0,0
1708218988,0,0,0,0
1708218988,0,0,1,0
1708218988,96,0,6,0
1708218988,89,2,4,2
1708218988,0,0,1,0
1708218988,0,0,0,0
1708218988,0,0,0,0
1708218988,0,0,0,1
1708218988,1,0,0,1
1708218989,0,0,0,0
1708218989,0,0,0,0
1708218989,0,0,0,0
1708218989,0,0,0,0
1708218989,0,0,1,0
1708218989,79,0,4,2
1708218989,41,0,1,0
1708218989,1,1,0,1
1708218989,0,0,1,0
1708218989,1,0,1,0
1708218990,0,1,0,0
1708218990,0,0,0,0
1708218990,0,1,1,1
1708218990,0,0,0,0
1708218990,0,0,0,0
1708218990,1,1,0,0
1708218990,0,0,0,1
1708218990,0,0,0,0
1708218990,0,0,0,0
1708218990,0,0,0,0
1708218991,0,0,0,0
1708218991,0,0,0,2
1708218991,0,0,0,0
1708218991,0,0,0,0
1708218991,0,0,0,0
1708218991,0,0,0,0
1708218991,0,0,0,0
1708218991,1,0,0,0
1708218991,0,0,1,0
1708218991,0,0,0,0
1708218992,0,0,0,1
1708218992,0,0,0,0
1708218992,0,0,0,0
1708218992,0,0,1,0
1708218992,0,0,0,0
1708218992,0,0,0,0
1708218992,1,0,1,0
1708218992,0,0,0,0
1708218992,0,0,0,0
1708218992,0,0,0,0
1708218993,1,0,0,0
1708218993,0,0,0,0
1708218993,0,1,0,0
1708218993,0,0,0,1
1708218993,0,0,0,0
1708218993,0,0,0,0
1708218993,0,0,0,0
1708218993,1,0,0,0
1708218993,0,0,0,0
1708218993,0,1,1,0
1708218994,0,1,2,1
1708218994,0,0,0,0
1708218994,0,0,7,0
1708218994,0,0,0,0
1708218994,0,0,3,0
1708218994,0,2,1,1
1708218994,0,0,14,0
1708218994,0,0,2,0
1708218994,0,0,0,0
1708218994,0,0,0,1
1708218995,0,0,0,0
1708218995,0,0,0,0
1708218995,0,0,0,1
1708218995,0,0,0,0
1708218995,0,0,0,1
1708218995,0,0,0,0
1708218995,0,0,0,0
1708218995,0,0,0,0
1708218995,0,0,0,0
1708218996,2,0,1,0
1708218996,0,0,0,0
1708218996,1,0,0,0
1708218996,0,0,0,0
1708218996,0,0,0,0
1708218996,0,0,0,0
1708218996,0,0,0,0
1708218996,0,0,1,0
1708218996,0,1,0,0
1708218996,0,0,2,0
1708218997,2,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,0,0,0,0
1708218997,2,0,0,0
1708218997,0,0,0,0
1708218998,0,1,0,0
1708218998,0,0,0,0
1708218998,0,0,0,0
1708218998,0,0,1,0
1708218998,0,0,0,0
1708218998,0,0,0,0
1708218998,0,2,0,0
1708218998,0,0,0,0
1708218998,0,0,0,1
1708218998,0,0,0,0
1708218999,0,0,0,1
1708218999,0,0,0,0
1708218999,0,0,0,0
1708218999,0,0,0,0
1708218999,0,0,1,0
1708218999,0,0,0,1
1708218999,0,0,0,0
1708218999,0,1,0,1
1708218999,0,0,0,0
1708218999,0,0,0,0
1708219000,1,0,0,0
1708219000,2,0,0,0
1708219000,0,0,0,0
1708219000,0,1,4,0
1708219000,0,0,186,0
1708219000,44,0,0,1
1708219000,199,1,0,0
1708219000,234,0,0,1
1708219000,277,0,0,0
1708219000,292,0,1,2
1708219001,261,0,0,0
1708219001,227,0,0,0
1708219001,193,0,0,0
1708219001,178,0,0,0
1708219001,84,0,0,0
1708219001,134,0,0,1
1708219001,190,0,0,0
1708219001,197,1,0,0
1708219001,209,0,1,0
1708219001,233,0,1,0
1708219002,250,0,0,0
1708219002,275,0,8,0
1708219002,251,0,0,0
1708219002,188,0,0,0
1708219002,191,0,0,0
1708219002,161,0,0,0
1708219002,136,2,0,0
1708219002,133,2,0,0
1708219002,0,0,0,0
1708219002,0,0,0,0
1708219003,1,0,0,0
1708219003,1,0,0,1
1708219003,0,1,0,0
1708219003,0,0,0,0
1708219003,0,0,0,1
1708219003,0,0,0,0
1708219003,0,0,134,0
1708219003,2,1,56,0
1708219003,0,0,0,0
1708219003,0,2,0,0
1708219004,0,0,0,0
1708219004,0,0,0,2
1708219004,0,0,0,1
1708219004,0,0,0,0
1708219004,0,0,1,0
1708219004,0,0,0,0
1708219004,0,0,1,0
1708219004,0,0,1,2
1708219004,0,0,0,0
1708219004,0,0,0,0
1708219005,0,0,1,0
1708219005,0,1,0,1
1708219005,0,0,0,0
1708219005,0,1,1,0
1708219005,1,0,0,0
1708219005,0,0,1,0
1708219005,0,0,0,0
1708219005,1,0,0,0
1708219005,0,0,0,0
1708219005,0,0,0,0
1708219006,0,1,0,0
1708219006,0,0,0,0
1708219006,0,1,1,0
1708219006,0,0,0,1
1708219006,0,0,47,0
1708219006,1,0,127,0
1708219006,0,0,168,0
1708219006,0,0,133,0
1708219006,0,0,46,0
1708219006,1,0,35,0
1708219007,0,0,63,0
1708219007,1,0,110,1
1708219007,0,0,188,0
1708219007,1,0,180,0
1708219007,0,0,176,0
1708219007,1,0,182,0
1708219007,0,0,176,1
1708219007,1,2,186,1
1708219007,0,1,174,0
1708219008,0,0,183,0
1708219008,1,0,198,1
1708219008,1,1,199,0
1708219008,0,1,212,0
1708219008,1,0,178,1
1708219008,1,0,171,0
1708219008,0,1,203,0
1708219008,0,2,222,0
1708219008,0,0,215,0
1708219008,0,1,172,0
1708219009,0,0,195,0
1708219009,0,0,217,0
1708219009,0,0,175,1
1708219009,0,0,145,2
1708219009,2,0,96,2
1708219009,0,1,0,1
1708219009,1,0,0,0
1708219009,0,0,0,0
1708219009,0,0,0,0
1708219009,0,0,0,0
1708219010,0,0,0,0
1708219010,62,0,0,0
1708219010,149,0,0,0
1708219010,176,0,0,0
1708219010,193,1,2,0
1708219010,199,0,0,0
1708219010,194,1,0,0
1708219010,205,0,0,0
1708219010,231,0,0,0
1708219010,232,0,0,0
1708219011,244,0,0,0
1708219011,194,0,0,1
1708219011,224,0,0,0
1708219011,143,0,1,0
1708219011,97,1,47,0
1708219011,11,1,11,0
1708219011,0,0,110,0
1708219011,1,0,0,0
1708219011,0,0,0,0
1708219011,0,0,0,0
1708219012,0,0,0,0
1708219012,0,0,1,1
1708219012,1,0,1,0
1708219012,0,1,0,0
1708219012,0,0,2,0
1708219012,1,0,0,0
1708219012,0,0,13,0
1708219012,0,0,104,0
1708219012,1,0,133,1
1708219012,0,0,88,0
1708219013,0,1,0,0
1708219013,0,2,0,0
1708219013,0,0,0,0
1708219013,0,0,0,1
1708219013,0,0,0,0
1708219013,0,0,2,0
1708219013,0,0,1,0
1708219013,1,0,0,0
1708219013,0,1,0,1
1708219013,0,0,0,0
1708219014,0,1,0,0
1708219014,3,0,0,1
1708219014,1,0,0,0
1708219014,0,0,0,0
1708219014,0,1,0,0
1708219014,0,0,0,0
1708219014,0,0,0,0
1708219014,0,0,131,0
1708219014,0,0,2,0
1708219014,0,0,0,1
1708219015,0,0,46,0
1708219015,0,0,0,1
1708219015,0,0,0,0
1708219015,0,0,115,0
1708219015,0,0,143,0
1708219015,0,0,9,0
1708219015,0,0,0,0
1708219015,0,0,0,0
1708219015,0,0,0,1
1708219015,0,1,0,2
1708219016,0,2,1,0
1708219016,0,0,1,0
1708219016,0,1,51,0
1708219016,0,1,69,0
1708219016,0,0,89,0
1708219016,0,1,123,0
1708219016,0,0,149,0
1708219016,0,0,168,0
1708219016,0,0,148,1
1708219016,0,0,159,0
1708219017,0,0,178,0
1708219017,0,0,178,0
1708219017,0,0,175,0
1708219017,0,0,163,0
1708219017,1,1,164,0
1708219017,0,0,161,0
1708219017,1,2,144,1
1708219017,0,0,138,0
1708219017,0,0,126,0
1708219017,1,2,146,0
1708219018,0,0,160,1
1708219018,2,0,143,0
1708219018,0,0,105,0
1708219018,0,0,95,0
1708219018,0,0,106,0
1708219018,0,0,92,0
1708219018,0,0,97,1
1708219018,0,0,52,1
1708219018,0,0,51,0
1708219019,0,0,47,0
1708219019,0,0,34,0
1708219019,0,0,30,0
1708219019,1,1,57,0
1708219019,0,0,68,0
1708219019,0,1,70,0
1708219019,1,0,65,0
1708219019,0,20,85,1
1708219019,0,33,124,0
1708219019,0,0,145,0
1708219020,1,0,141,1
1708219020,0,0,104,1
1708219020,0,0,61,0
1708219020,0,0,0,0
1708219020,0,0,0,0
1708219020,0,0,1,0
1708219020,0,0,2,0
1708219020,0,0,0,2
1708219020,0,1,0,0
1708219020,0,0,0,1
1708219021,0,0,0,2
1708219021,0,0,0,0
1708219021,0,1,0,0
1708219021,0,0,0,0
1708219021,0,0,20,1
1708219021,0,0,37,0
1708219021,0,0,65,1
1708219021,0,2,126,0
1708219021,0,0,134,0
1708219021,1,0,145,0
1708219022,0,0,147,0
1708219022,0,0,149,0
1708219022,0,0,125,1
1708219022,0,0,143,1
1708219022,0,0,150,2
1708219022,0,0,148,0
1708219022,0,0,143,0
1708219022,0,0,156,0
1708219022,0,0,167,0
1708219022,1,0,163,0
1708219023,0,0,160,1
1708219023,0,0,146,0
1708219023,0,0,164,0
1708219023,0,0,163,0
